"Part";"Value";"Device";"Package";"Description";"CATEGORY";"DESCRIPTION";"FORWARD_CURRENT";"MANUFACTURER";"MPN";"OPERATING_TEMP";"PART_STATUS";"POPULARITY";"REVERSE_VOLTAGE";"ROHS_COMPLIANT";"SERIES";"SUB-CATEGORY";"THERMALLOSS";"TYPE";"VALUE";
"C1";"22nF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C2";"22nF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C3";"22nF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C4";"22nF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C5";"22nF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C6";"22nF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D1";"1N4148W";"DIODE_1N4148W-7-F_SOD123G";"SOD3715X135";"Diode Rectifier - Popular parts";"Diode";"DIODE GEN PURP 100V 300MA SOD123 ";"";"Diodes Incorporated";"";"";"";"";"";"";"";"Rectifier";"";"";"1N4148W";
"D2";"1N4148W";"DIODE_1N4148W-7-F_SOD123G";"SOD3715X135";"Diode Rectifier - Popular parts";"Diode";"DIODE GEN PURP 100V 300MA SOD123 ";"";"Diodes Incorporated";"";"";"";"";"";"";"";"Rectifier";"";"";"1N4148W";
"D3";"1N4148W";"DIODE_1N4148W-7-F_SOD123G";"SOD3715X135";"Diode Rectifier - Popular parts";"Diode";"DIODE GEN PURP 100V 300MA SOD123 ";"";"Diodes Incorporated";"";"";"";"";"";"";"";"Rectifier";"";"";"1N4148W";
"D4";"1N4148W";"DIODE_1N4148W-7-F_SOD123G";"SOD3715X135";"Diode Rectifier - Popular parts";"Diode";"DIODE GEN PURP 100V 300MA SOD123 ";"";"Diodes Incorporated";"";"";"";"";"";"";"";"Rectifier";"";"";"1N4148W";
"D5";"1N4148W";"DIODE_1N4148W-7-F_SOD123G";"SOD3715X135";"Diode Rectifier - Popular parts";"Diode";"DIODE GEN PURP 100V 300MA SOD123 ";"";"Diodes Incorporated";"";"";"";"";"";"";"";"Rectifier";"";"";"1N4148W";
"D6";"1N4148W";"DIODE_1N4148W-7-F_SOD123G";"SOD3715X135";"Diode Rectifier - Popular parts";"Diode";"DIODE GEN PURP 100V 300MA SOD123 ";"";"Diodes Incorporated";"";"";"";"";"";"";"";"Rectifier";"";"";"1N4148W";
"D7";"1N4148W";"DIODE_1N4148W-7-F_SOD123G";"SOD3715X135";"Diode Rectifier - Popular parts";"Diode";"DIODE GEN PURP 100V 300MA SOD123 ";"";"Diodes Incorporated";"";"";"";"";"";"";"";"Rectifier";"";"";"1N4148W";
"D8";"1N4148W";"DIODE_1N4148W-7-F_SOD123G";"SOD3715X135";"Diode Rectifier - Popular parts";"Diode";"DIODE GEN PURP 100V 300MA SOD123 ";"";"Diodes Incorporated";"";"";"";"";"";"";"";"Rectifier";"";"";"1N4148W";
"IC1";"ULN2003AD";"ULN2003AD";"SO16";"DRIVER ARRAY";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";
"IC2";"ULN2003AD";"ULN2003AD";"SO16";"DRIVER ARRAY";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";
"JP1";"";"PINHD-2X20";"2X20";"PIN HEADER";"";"";"";"";"";"";"";"12";"";"";"";"";"";"";"";
"JP5";"";"PINHD-1X2/90";"1X02/90";"PIN HEADER";"";"";"";"";"";"";"";"24";"";"";"";"";"";"";"";
"JP6";"";"PINHD-2X20/90";"2X20/90";"PIN HEADER";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";
"R1";"4.7k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R2";"4.7kO";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R3";"10k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R4";"10k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R5";"10k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R6";"10k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R7";"10k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R8";"10k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$1";"G5V-1-DC5";"G5V-1-DC5";"G5V-1-DC5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$2";"G5V-1-DC5";"G5V-1-DC5";"G5V-1-DC5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$3";"LM2596_DC-DC";"LM2596_DC-DC";"LM2596_DC-DC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$4";"G5V-1-DC5";"G5V-1-DC5";"G5V-1-DC5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$5";"G5V-1-DC5";"G5V-1-DC5";"G5V-1-DC5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$6";"G5V-1-DC5";"G5V-1-DC5";"G5V-1-DC5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
